regiao,uf,superficie,populacao,densidade
Norte,RO,237576.167,1453756,6.119115475080462
Norte,AC,164165.25,653385,3.9800444978459204
Norte,AM,1559161.81,3221940,2.0664564635533242
Norte,RR,224298.98,395725,1.7642746302279215
Norte,PA,1247689.515,7065573,5.662925683878974
Norte,AP,142814.585,587311,4.112402105149135
Norte,TO,277620.914,1243627,4.479586865707099
Norte,Subtot,3853327.221,14621317,3.7944654480201487
Nordeste,MA,331983.293,6118995,18.431635353409185
Nordeste,PI,251529.186,3032435,12.055996555405702
Nordeste,CE,148825.602,8185250,54.99893761558579
Nordeste,RN,52796.791,3013740,57.08187832855221
Nordeste,PB,56439.838,3641397,64.5182043222732
Nordeste,PE,98311.616,8486638,86.32385821020377
Nordeste,AL,27767.661,3037231,109.38015268912999
Nordeste,SE,21910.348,1939426,88.51643981190988
Nordeste,BA,564692.669,14080670,24.93510323931618
Nordeste,Subtot,1554257.004,51535782,33.15782516493006
Sudeste,MG,586528.293,19273533,32.86036365171561
Sudeste,ES,46077.519,3351669,72.73978878940943
Sudeste,RJ,43696.054,15420450,352.9025755964143
Sudeste,SP,248209.426,39827690,160.4600221749838
Sudeste,Subtot,924511.2919999999,77873342,84.23189924650484
Sul,PR,199314.85,10284503,51.59928123770005
Sul,SC,95346.181,5866487,61.52828501856828
Sul,RS,281748.583,10582287,37.559326429691396
Sul,Subtot,576409.6140000001,26733277,46.378957516832806
Centro-Oeste,MS,357124.962,2265813,6.344594304780073
Centro-Oeste,MT,903357.908,2854642,3.160034328276451
Centro-Oeste,GO,340086.698,5647035,16.60469237170811
Centro-Oeste,DF,5801.937,2455903,423.29018739776046
Centro-Oeste,Subtot,1606371.505,13223393,8.231839869445395
Brasil,Total,8514876.636,183987111,21.607724793348375
