Ano,Cananéia,Ubatuba
1976.0,25.2,27.1
1976.0,24.3,25.3
1976.0,24.2,25.8
1976.0,21.4,23.7
1976.0,19.8,21.6
1976.0,17.0,20.0
1976.0,17.2,19.3
1976.0,17.6,20.2
1976.0,20.2,20.2
1976.0,21.6,21.3
1976.0,22.5,23.7
1976.0,24.0,25.5
1977.0,25.3,26.4
1977.0,26.4,27.4
1977.0,24.9,26.3
1977.0,21.8,23.8
1977.0,21.0,22.3
1977.0,19.3,20.8
1977.0,20.8,22.6
1977.0,19.6,21.6
1977.0,20.2,21.6
1977.0,21.6,22.5
1977.0,22.5,23.3
1977.0,24.0,24.1
1980.0,24.4,26.1
1980.0,25.0,26.6
1980.0,26.4,27.7
1980.0,23.6,24.4
1980.0,21.7,23.0
1980.0,18.2,20.5
1980.0,17.6,20.1
1980.0,17.8,20.3
1980.0,17.3,19.7
1980.0,20.2,21.5
1980.0,22.2,22.6
1980.0,24.6,25.6
1981.0,25.0,25.9
1981.0,26.2,27.0
1981.0,24.3,24.7
1981.0,22.3,22.9
1981.0,21.9,22.3
1981.0,18.2,19.9
1981.0,17.1,19.0
1981.0,18.0,20.2
1981.0,19.5,21.4
1981.0,19.4,20.7
1981.0,23.2,23.4
1981.0,23.6,23.8
1982.0,23.8,24.3
1982.0,25.0,25.9
1982.0,23.9,23.7
1982.0,21.6,22.1
1982.0,19.9,20.1
1982.0,20.3,20.3
1982.0,18.8,20.3
1982.0,18.7,20.8
1982.0,19.7,20.8
1982.0,20.6,21.5
1982.0,22.4,24.3
1982.0,23.8,23.8
1978.0,24.8,25.9
1978.0,25.2,25.8
1978.0,24.3,25.5
1978.0,21.6,22.9
1978.0,19.2,21.5
1978.0,17.4,19.8
1978.0,18.9,21.4
1978.0,17.5,20.8
1978.0,19.7,21.8
1978.0,21.6,22.3
1978.0,22.9,23.7
1978.0,23.9,24.7
1979.0,22.9,24.0
1979.0,24.5,25.3
1979.0,23.2,24.2
1979.0,21.8,23.2
1979.0,19.3,22.3
1979.0,16.6,19.6
1979.0,16.5,19.2
1979.0,18.8,21.7
1979.0,18.1,20.5
1979.0,22.0,22.5
1979.0,21.7,22.5
1979.0,24.1,24.5
1983.0,25.9,26.4
1983.0,25.9,26.6
1983.0,24.1,23.5
1983.0,22.6,18.9
1983.0,20.9,18.0
1983.0,16.9,15.3
1983.0,17.2,14.7
1983.0,17.9,14.4
1983.0,17.1,16.2
1983.0,20.4,19.9
1983.0,23.5,22.6
1983.0,24.5,23.3
1984.0,26.2,25.6
1984.0,26.6,25.6
1984.0,24.7,23.3
1984.0,22.2,19.1
1984.0,21.8,19.4
1984.0,19.5,20.1
1984.0,18.3,19.0
1984.0,16.2,19.0
1984.0,18.3,18.3
1984.0,21.4,22.0
1984.0,22.3,22.5
1984.0,23.0,23.1
1985.0,24.0,23.8
1985.0,25.5,26.2
1985.0,25.3,25.1
1985.0,23.8,24.5
1985.0,20.1,21.6
1985.0,18.0,19.8
1985.0,18.0,19.8
1985.0,19.1,20.1
1985.0,19.2,20.2
1985.0,21.6,22.2
1985.0,22.6,22.9
1985.0,24.0,23.9
